3
0 1
0
1
1 1
0
6
2 5
0 1 2 3 4
3 4 6 4 1
50
0 0 0 2 13
1 1 0 10 7
2 0 0 22 3
3 0 0 19 3
4 0 0 22 3
5 0 0 5 17
6 1 0 11 11
7 1 0 22 2
8 1 0 18 6
9 2 3 12 4
10 0 0 22 1
11 0 0 7 13
12 0 0 10 6
13 1 0 17 2
14 1 0 21 2
15 1 0 4 12
16 1 0 14 1
17 1 0 22 2
18 0 0 20 5
19 1 0 19 6
20 2 1 11 1
21 2 4 16 5
22 0 0 8 2
23 0 0 24 1
24 1 0 18 4
25 0 0 4 19
26 2 4 6 13
27 1 0 9 13
28 1 0 22 2
29 2 2 21 3
30 2 3 5 9
31 2 1 13 4
32 1 0 11 8
33 1 0 24 1
34 2 0 10 9
35 2 1 19 4
36 1 0 11 10
37 1 0 20 3
38 0 0 11 7
39 1 0 13 10
40 0 0 15 4
41 1 0 8 1
42 2 1 24 1
43 0 0 20 2
44 0 0 14 5
45 1 0 13 9
46 0 0 6 3
47 0 0 9 3
48 2 4 6 7
49 2 0 23 1
